ETSIdentifierId,Installation_INSPIRE_ID,reportingYear,ETSIdentifier
1,"EE.KAUR.TTR/38.INSTALLATION",2017,"EE-KL-0011"
2,"EE.KAUR.TTR/41.INSTALLATION",2017,"EE-KL-0005"
3,"EE.KAUR.TTR/48.INSTALLATION",2017,"EE-KL-0056"
4,"EE.KAUR.TTR/49.INSTALLATION",2017,"EE-KL-0007"
5,"EE.KAUR.TTR/53.INSTALLATION",2017,"EE-KL-0021"
6,"EE.KAUR.TTR/63.INSTALLATION",2017,"EE-KL-0047"
7,"EE.KAUR.TTR/65.INSTALLATION",2017,"EE-KL-0043"
8,"EE.KAUR.TTR/67.INSTALLATION",2017,"EE-KL-0040"
9,"EE.KAUR.TTR/74.INSTALLATION",2017,"EE-KL-0001"
10,"EE.KAUR.TTR/75.INSTALLATION",2017,"EE-KL-0002"
11,"EE.KAUR.TTR/76.INSTALLATION",2017,"EE-KL-0057"
12,"EE.KAUR.TTR/77.INSTALLATION",2017,"EE-KL-0039"
13,"EE.KAUR.TTR/86.INSTALLATION",2017,"EE-KL-0015"
14,"EE.KAUR.TTR/88.INSTALLATION",2017,"EE-KL-0046"
15,"EE.KAUR.TTR/97.INSTALLATION",2017,"EE-KL-0033"
16,"EE.KAUR.TTR/100.INSTALLATION",2017,"EE-KL-0041"
17,"EE.KAUR.TTR/106.INSTALLATION",2017,"EE-KL-0022"
18,"EE.KAUR.TTR/13.INSTALLATION",2017,"EE-KL-0004"
19,"EE.KAUR.TTR/30.INSTALLATION",2017,"EE-KL-0003"
20,"EE.KAUR.TTR/116.INSTALLATION",2017,"EE-KL-0045"
21,"EE.KAUR.TTR/125.INSTALLATION",2017,"EE-KL-0048"
22,"EE.KAUR.TTR/135.INSTALLATION",2017,"EE-KL-0049"
23,"EE.KAUR.TTR/155.INSTALLATION",2017,"EE-KL-0031"
24,"EE.KAUR.TTR/156.INSTALLATION",2017,"EE-KL-0050"
25,"EE.KAUR.TTR/185.INSTALLATION",2017,"EE-KL-0051"
26,"EE.KAUR.TTR/187.INSTALLATION",2017,"EE-KL-0035"
27,"EE.KAUR.TTR/190.INSTALLATION",2017,"EE-KL-0054"
28,"EE.KAUR.TTR/192.INSTALLATION",2017,"EE-KL-0058"
29,"EE.KAUR.TTR/193.INSTALLATION",2017,"EE-KL-0055"
30,"EE.KAUR.TTR/194.INSTALLATION",2017,"EE-KL-0032"
31,"EE.KAUR.TTR/213.INSTALLATION",2017,"EE-KL-0059"
32,"LT.CAED/118188317.INSTALLATION1",2017,"T-A-1-5-2015"
33,"LT.CAED/110818317.INSTALLATION2",2017,"T-A-3-3-2015"
34,"LT.CAED/136025070.INSTALLATION",2017,"T-K-4-8-2015"
35,"LT.CAED/235014830.INSTALLATION1",2017,"T-K-4-2-2015"
36,"LT.CAED/147248313.INSTALLATION1",2017,"T-K-6-4-2015"
37,"LT.CAED/140249252.INSTALLATION1",2017,"T-KL-1-5-2015"
38,"LT.CAED/140249252.INSTALLATION2",2017,"T-KL-1-5-2015"
39,"LT.CAED/140249252.INSTALLATION3",2017,"11-2-30-70-2005"
40,"LT.CAED/110648893.INSTALLATION",2017,"T-KL-1-13-2015"
41,"LT.CAED/110818317.INSTALLATION3",2017,"T-M-3-3-2015"
42,"LT.CAED/147248313.INSTALLATION2",2017,"P1-1-014"
43,"LT.CAED/147248313.INSTALLATION3",2017,"T-P-3-11-2015"
44,"LT.CAED/147248313.INSTALLATION4",2017,"P1-1-096"
45,"LT.CAED/166901968.INSTALLATION",2017,"T-S-4-4-2014"
46,"LT.CAED/183843314.INSTALLATION",2017,"T-U-4-2-2015"
47,"LT.CAED/110087517.INSTALLATION",2017,"TV-2-13"
48,"LT.CAED/111760831.INSTALLATION1",2017,"VR-4-7-V-01-38-T-V-7-1-2014"
49,"LT.CAED/302648707.INSTALLATION1",2017,"T-V-7-5-2014"
