fileId_EUReg,fileId_EPRTR_LCP,Parent_Installation_INSPIRE_ID,Installation_Part_INSPIRE_ID,ProductionInstallationPart_thematicId,ProductionInstallationPart_thematicIdScheme,nameOfFeature,installationPartName_confidentialityReasonCode,installationPartName_confidentialityReasonName,plantType,pointGeometryLat,pointGeometryLon,dateOfStartOfOperation,publicDisclosure,combustionPlantCategory,totalRatedThermalInput,withinRefinery,untreatedMunicipalWaste,heatReleaseHazardousWaste,totalNominalCapacityAnyWasteType,permittedCapacityHazardous,permittedCapacityNonHazardous,confidentialityReasonCode,confidentialityReasonName,publicDisclosureURL
6770,5788,"BE.EEA/BE0015.INSTALLATION","BE.EEA/BE0015.PART","BE0015","LCPmapping_unmapped_PlantId","Centrale Elec. Electrabel Awirs t5",,,"LCP","50.586396","5.42264","01/01/71 00:00:00",,"Boiler",789,0,0,0,,,,,,
6770,5788,"BE.EEA/BE0022.INSTALLATION","BE.EEA/BE0022.PART","BE0022","LCPmapping_unmapped_PlantId","LANGERLO_LCP1",,,"LCP","50.93684","5.4927263","01/01/75 00:00:00",,"Boiler",785,0,0,0,,,,,,
6770,5788,"BE.EEA/BE0023.INSTALLATION","BE.EEA/BE0023.PART","BE0023","LCPmapping_unmapped_PlantId","LANGERLO _ LCP2",,,"LCP","50.93684","5.4927263","01/01/76 00:00:00",,"Boiler",785,0,0,0,,,,,,
6770,5788,"BE.EEA/BE0024.INSTALLATION","BE.EEA/BE0024.PART","BE0024","LCPmapping_unmapped_PlantId","LANGERLO _ LCP3",,,"LCP","50.93684","5.4927263","01/01/98 00:00:00",,"GasTurbine",125,0,0,0,,,,,,
6770,5788,"BE.EEA/BE0025.INSTALLATION","BE.EEA/BE0025.PART","BE0025","LCPmapping_unmapped_PlantId","LANGERLO _ LCP4",,,"LCP","50.93684","5.4927263","01/01/98 00:00:00",,"GasTurbine",125,0,0,0,,,,,,
6770,5788,"BE.EEA/BE0038.INSTALLATION","BE.EEA/BE0038.PART","BE0038","LCPmapping_unmapped_PlantId","ELECTRABEL CENTRALE DROGENBOS _ LCP 1",,,"LCP","50.80389","4.2999973","01/01/76 00:00:00",,"GasTurbine",273,0,0,0,,,,,,
6770,5788,"BE.EEA/BE0097.INSTALLATION","BE.EEA/BE0097.PART","BE0097","LCPmapping_unmapped_PlantId","ELECTRABEL TURON",,,"LCP","50.51297","5.82057","01/01/72 00:00:00",,"GasTurbine",60,0,0,0,,,,,,
6776,5794,"CZ.EEA/CZ0037.INSTALLATION","CZ.EEA/CZ0037.PART","CZ0037","LCPmapping_unmapped_PlantId","Veolia Energie CR, a.s. - Teplarna Prerov - source B",,,"LCP","49.445061111111","17.428525","08/21/91 00:00:00",,"Boiler",84,0,0,0,,,,,,
6776,5794,"CZ.EEA/CZ0041.INSTALLATION","CZ.EEA/CZ0041.PART","CZ0041","LCPmapping_unmapped_PlantId","Veolia Energie Marianske Lazne, s.r.o.",,,"LCP","49.958733","12.692461","01/01/93 00:00:00",,"Boiler",54.36,0,0,0,,,,,,
6776,5794,"CZ.EEA/CZ0044.INSTALLATION","CZ.EEA/CZ0044.PART","CZ0044","LCPmapping_unmapped_PlantId","ENERGOAQUA, a.s. - Roznov pod Radhostem",,,"LCP","49.462800880556","18.126252638889","01/01/75 00:00:00",,"Boiler",67.09999999999999,0,0,0,,,,,,
